iter	MAE
0	89.73065664
1	73.9269816
2	59.91303912
3	53.9477749
4	51.29025552
5	49.48402163
6	48.45119497
7	43.32713187
8	40.29651891
9	39.50709516
10	39.11760283
11	35.77581253
12	34.65510587
13	33.33695272
14	33.1311253
15	32.24404659
16	31.37129859
17	30.99375614
18	30.67080393
19	29.99617231
20	29.38686381
21	28.52552979
22	26.2165975
23	25.52429762
24	25.42298124
25	25.25963872
26	22.81485648
27	22.58069536
28	22.11946444
29	21.76893937
30	21.42096247
31	21.21606474
32	20.89899221
33	20.68741682
34	20.23069669
35	19.97336286
36	19.92697113
37	19.12641592
38	19.00422326
39	18.91624237
40	18.77288297
41	18.6333031
42	18.39933947
43	18.21115469
44	17.99475315
45	17.9100728
46	17.74545054
47	17.57795438
48	17.4544526
49	17.10237989
50	17.00285139
51	16.95025501
52	16.78553902
53	16.70333612
54	16.66226252
55	16.64172685
56	16.5581409
57	16.41400492
58	16.4049314
59	16.40048773
60	16.33679952
61	16.27343019
62	16.25730095
63	16.24923673
64	16.1736286
65	16.07283964
66	16.07200052
67	16.07158108
68	15.96188178
69	15.83731757
70	15.8366374
71	15.83633089
72	15.83616175
73	15.83607736
74	15.83603516
75	15.78807619
76	15.74316583
77	15.74256284
78	15.64352855
79	15.53777885
80	15.53641834
81	15.53574142
82	15.53540382
83	15.53523502
84	15.53515062
85	15.53510842
86	15.46298758
87	15.37567241
88	15.37443543
89	15.37382061
90	15.37351583
91	15.37336585
92	15.37329087
93	15.37325337
94	15.37323462
95	15.37322525
96	15.37322056
97	15.37321822
98	15.37321705
99	15.37321646
100	15.37321617
101	15.37321602
102	15.37321595
103	15.37321591
104	15.3732159
105	15.33018394
106	15.226517
107	15.19294539
108	15.12267294
109	15.12085751
110	15.11995711
111	15.11950833
112	15.11928394
113	15.11917278
114	15.11911787
115	15.11909041
116	15.11907668
117	15.11906981
118	15.11906638
119	15.11906467
120	15.11906381
121	15.11906338
122	15.11906316
123	15.07285276
124	15.06631104
125	15.06320648
126	15.06170411
127	15.06095425
128	15.06058199
